Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*),
102.543,-0.088061609,-23.91687786,-23.91687786
109.0184439,-0.096639154,-25.4290224,-25.4290224
115.9028029,-0.106497517,-27.03497173,-27.03497173
123.2218993,-0.118039686,-28.74286558,-28.74286558
131.0031862,-0.130656977,-30.55666454,-30.55666454
139.2758502,-0.145095293,-32.48477087,-32.48477087
148.0709212,-0.161302775,-34.53590142,-34.53590142
157.4213883,-0.179571808,-36.71775796,-36.71775796
167.3623241,-0.200389784,-39.03401568,-39.03401568
177.9310157,-0.223863955,-41.49962584,-41.49962584
189.1671051,-0.249798069,-44.11977388,-44.11977388
201.1127375,-0.279664596,-46.90575608,-46.90575608
213.8127196,-0.31325469,-49.86540292,-49.86540292
227.3146873,-0.351253783,-53.01571418,-53.01571418
241.669285,-0.393542447,-56.36310664,-56.36310664
256.9303551,-0.442459311,-59.92299048,-59.92299048
273.1551399,-0.497130123,-63.71006312,-63.71006312
290.4044967,-0.559047635,-67.73594383,-67.73594383
308.7431258,-0.629224532,-72.01396783,-72.01396783
328.2398131,-0.708643508,-76.56593324,-76.56593324
348.9676883,-0.797858172,-81.40786696,-81.40786696
371.0044992,-0.89925788,-86.55533435,-86.55533435
394.4329032,-1.014354716,-92.03047584,-92.03047584
419.3407775,-1.144892743,-97.85650344,-97.85650344
445.8215485,-1.292389233,-104.0521858,-104.0521858
473.9745423,-1.460529455,-110.6458645,-110.6458645
503.9053574,-1.650976717,-117.6615898,-117.6615898
535.7262608,-1.868589254,-125.1341752,-125.1341752
569.5566087,-2.116114417,-133.0824745,-133.0824745
605.5232948,-2.399782977,-141.5518959,-141.5518959
643.7612257,-2.72578514,-150.5679489,-150.5679489
684.4138273,-3.09977108,-160.1690976,-160.1690976
727.6335827,-3.531056858,-170.3953053,-170.3953053
773.5826038,-4.033175645,178.7151478,178.7151478
822.4332399,-4.617172343,167.1421166,167.1421166
874.368724,-5.301943799,154.8594238,154.8594238
929.5838596,-6.107574188,141.8696036,141.8696036
988.2857522,-7.058151577,128.2177303,128.2177303
1050.694585,-8.177602453,113.9761289,113.9761289
1117.044447,-9.490491877,99.28773883,99.28773883
1187.584208,-11.01292785,84.35002349,84.35002349
1262.578454,-12.7544737,69.39069221,69.39069221
1342.30848,-14.71022352,54.66495524,54.66495524
1427.073342,-16.86611164,40.37888649,40.37888649
1517.190985,-19.20492961,26.70812123,26.70812123
1612.999428,-21.69298938,13.79584391,13.79584391
1714.858037,-24.29920606,1.565867049,1.565867049
1823.148872,-27.01952923,-9.862053046,-369.862053
1938.278118,-29.81142513,-20.47985842,-380.4798584
2060.677612,-32.6714622,-30.53393427,-390.5339343
2190.806459,-35.54618531,-39.72685554,-399.7268555
2329.152757,-38.48014598,-48.60862837,-408.6086284
2476.235426,-41.45178155,-56.92516405,-416.9251641
2632.606155,-44.46096671,-64.62969358,-424.6296936
2798.851472,-47.40775138,-71.91104515,-431.9110452
2975.594944,-50.54365007,-79.10976297,-439.109763
3163.499513,-53.63639446,-84.86289515,-444.8628952
3363.269987,-56.52151393,-90.80813466,-450.8081347
3575.655682,-59.47444907,-96.96621089,-456.9662109
3801.453229,-62.66365836,-103.6370356,-463.6370356
4041.509569,-64.81501891,-109.4065569,-469.4065569
4296.725124,-68.32252112,-111.0748737,-471.0748737
4568.057176,-70.36529686,-126.8687829,-486.8687829
4856.52346,-72.55322023,-111.8296165,-471.8296165
5163.205978,-74.47902122,-144.6433643,-504.6433643
5489.255059,-78.06211645,-113.5630516,-473.5630516
5835.893673,-76.5489716,-124.1983953,-484.1983953
6204.42202,-79.19402764,-145.3660252,-505.3660252
6596.222406,-76.16044335,-154.4351618,-514.4351618
7012.764426,-77.90788058,-141.4675047,-501.4675047
7455.61048,-77.2826339,-147.4485278,-507.4485278
7926.42163,-80.70469466,-137.481201,-497.481201
8426.963831,-85.25292151,-131.6189963,-491.6189963
8959.114556,-79.53471007,-144.221883,-504.221883
9524.86984,-81.1917402,-148.1569329,-508.1569329
10126.35176,-81.47666589,-173.2987311,-533.2987311
10765.81641,-81.12789571,-166.6803197,-526.6803197
11445.66233,-79.13072375,-167.4066471,-527.4066471
12168.43955,-77.12173569,-153.374748,-513.374748
12936.85913,-74.62011265,-148.2653512,-508.2653512
13753.8033,-82.83088019,-154.5262274,-514.5262274
14622.33632,-81.88130853,-165.9019774,-525.9019774
15545.71597,-77.25432959,-159.293879,-519.293879
16527.40572,-78.06290008,-151.6959624,-511.6959624
17571.08778,-78.78084806,-161.0709173,-521.0709173
18680.67687,-76.68708528,-177.3163153,-537.3163153
19860.33492,-81.70037763,-175.0235656,-535.0235656
21114.4867,-78.73366662,-154.4319032,-514.4319032
22447.83636,-75.63457821,175.9743465,-184.0256535
23865.38516,-81.11846654,-158.8168352,-518.8168352
25372.45013,-75.75473907,-153.8656037,-513.8656037
26974.68411,-87.64938891,179.0073769,-180.9926231
28678.09687,-75.38517881,-146.9726304,-506.9726304
30489.07771,-88.4848002,137.8651621,-222.1348379
32414.41941,-82.18122267,-158.5354759,-518.5354759
34461.34368,-77.45718055,160.8848147,-199.1151853
36637.52829,-78.38805712,-167.220547,-527.220547
38951.13586,-78.23014473,-161.6200819,-521.6200819
41410.84444,-79.48813665,161.1945865,-198.8054135
44025.8801,-86.84134299,-153.4676437,-513.4676437
46806.05152,-77.79069121,161.7318076,-198.2681924
49761.7868,-77.51648053,-146.612291,-506.612291
52904.17254,-86.06873008,126.7493335,-233.2506665
56244.99545,-79.52631499,166.6018625,-193.3981375
59796.78655,-82.47423295,142.5328362,-217.4671638
63572.86818,-96.75674178,-176.5366844,-536.5366844
67587.40398,-82.19235412,-166.7320651,-526.7320651
71855.45197,-76.00428184,179.5797086,-180.4202914
76393.0211,-79.67890011,-143.7694714,-503.7694714
81217.13123,-74.47628209,-142.0645726,-502.0645726
86345.87703,-81.32914354,125.7089548,-234.2910452
91798.4958,-80.84436067,-140.3616713,-500.3616713
97595.43965,-82.97192333,159.9267615,-200.0732385
103758.4522,-72.91316681,167.6182265,-192.3817735
110310.6502,-80.23097078,129.0778472,-230.9221528
117276.6102,-70.48295922,-156.400757,-516.400757
124682.4606,-81.37405733,168.5005399,-191.4994601
132555.9798,-75.72509037,155.2100425,-204.7899575
140926.7005,-83.63009379,-106.905596,-466.905596
149826.0203,-82.31815457,156.5079823,-203.4920177
159287.3194,-78.65461178,157.3587921,-202.6412079
169346.0861,-79.77371994,-161.7775352,-521.7775352
180040.0494,-73.77143419,151.4070681,-208.5929319
191409.3213,-75.25145146,133.906158,-226.093842
203496.5465,-75.74034645,-143.022497,-503.022497
216347.0627,-81.13210683,-148.7312918,-508.7312918
230009.0706,-75.53028904,118.6282286,-241.3717714
244533.8147,-77.43850012,158.4139914,-201.5860086
259975.7758,-73.47019218,139.3211653,-220.6788347
276392.8745,-72.93964544,162.9571282,-197.0428718
293846.6897,-72.02933952,179.7458033,-180.2541967
312402.6883,-74.10749908,175.6511114,-184.3488886
332130.4717,-72.67146169,177.9079369,-182.0920631
353104.0364,-71.63639261,178.8666295,-181.1333705
375402.0518,-72.50976777,-169.8348273,-529.8348273
399108.1551,-71.81506624,148.3346483,-211.6653517
424311.2648,-72.49047384,173.1884796,-186.8115204
451105.9149,-70.0169689,177.3028414,-182.6971586
479592.6089,-69.33438792,158.9616772,-201.0383228
509878.197,-71.33447134,163.0522091,-196.9477909
542076.2766,-69.16773226,155.6512691,-204.3487309
576307.619,-67.62309095,-178.117222,-538.117222
612700.6217,-67.4694705,168.9698026,-191.0301974
651391.7906,-64.6321916,172.8792689,-187.1207311
692526.2515,-65.67579237,168.7336502,-191.2663498
736258.2948,-63.58692755,168.7627165,-191.2372835
782751.9541,-63.20715741,174.85918,-185.14082
832181.6217,-62.35401801,166.6922878,-193.3077122
884732.7021,-60.87255408,170.7291345,-189.2708655
940602.3081,-60.14451219,170.3341689,-189.6658311
1000000,-57.21759244,175.501545,-184.498455
