#Digilent WaveForms Network Analyzer - Bode,,
#Device Name: Discovery2,,
#Serial Number: SN:210321A35F97,,
#Date Time: 2019-11-08 16:04:54.558,,
#Start: 1000 Hz,,
#Stop: 1e+06 Hz,,
#Steps: 201,,
#Wavegen: Wavegen1,,
#Amplification: 1 X,,
#Settle: 10 ms,,
#MinPeriods: 16 ,,
#Channel: Channel 2,,
#Range: 5.43395 V,,
#Offset: -2.27108e-05 V,,
#Relative: yes,,
,,
Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000,-72.26842423,-1.418174237
1035.142167,-72.6717405,-3.999814497
1071.519305,-72.78271919,3.275789868
1109.174815,-72.74502656,2.142272783
1148.153621,-73.42853926,-2.678192657
1188.502227,-73.52150201,-3.662126713
1230.268771,-73.45639046,2.680976787
1273.503081,-72.37363879,1.812158339
1318.256739,-73.96048309,-9.476869591
1364.583137,-73.83169797,-9.994030463
1412.537545,-73.33022438,1.937718382
1462.177174,-73.73959454,0.109276879
1513.561248,-72.99948776,-3.380755372
1566.75107,-74.1484128,-5.150737808
1621.810097,-74.02753906,-6.541973036
1678.804018,-74.44896909,-7.77170702
1737.800829,-75.90640929,-8.836106818
1798.870915,-75.23361659,-1.804051254
1862.087137,-75.74915878,-9.305071417
1927.524913,-76.96121145,-11.7077954
1995.262315,-75.16101681,-0.267695772
2065.380156,-76.74850333,-5.036660099
2137.96209,-77.94042898,-1.025665591
2213.09471,-78.57613881,-22.87386221
2290.867653,-80.13418909,-6.539277213
2371.373706,-79.96067702,-20.63604025
2454.708916,-79.42689401,-41.81546171
2540.972706,-84.18268796,-2.320888054
2630.267992,-81.78153678,-2.81174019
2722.701308,-81.15340515,-4.072747792
2818.382931,-83.79322665,-13.25496881
2917.427014,-92.04535068,-106.7010517
3019.95172,-87.21298708,-51.18585257
3126.079367,-90.62889024,-141.0556922
3235.936569,-88.6422677,-113.723077
3349.654392,-86.18959679,-179.2049894
3467.368505,-78.91282672,-174.9139353
3589.219346,-79.74687055,-158.0133084
3715.352291,-76.937627,-177.2335546
3845.91782,-74.98352128,-177.5163903
3981.071706,-74.19845228,-174.8006024
4120.975191,-73.42627142,173.2269964
4265.795188,-70.51076535,176.5318087
4415.704474,-70.04252505,-170.6239174
4570.881896,-68.70162874,-176.5751335
4731.51259,-68.66610937,179.9662122
4897.788194,-67.55131258,-179.7489926
5069.907083,-65.84843039,178.0744379
5248.074602,-65.07460307,177.3981615
5432.503315,-64.18685449,177.9255455
5623.413252,-63.18928567,177.6477158
5821.032178,-62.40584079,178.8914789
6025.595861,-61.14236375,177.2400044
6237.348355,-61.16959325,175.2197953
6456.54229,-60.00107197,178.801578
6683.439176,-59.19428712,-179.9337048
6918.309709,-58.4966639,177.2350821
7161.434102,-57.36508138,175.6292681
7413.102413,-57.18766282,176.4988361
7673.614894,-56.25661864,178.4423668
7943.282347,-55.50437135,175.0624287
8222.426499,-54.39141986,178.2806636
8511.380382,-53.76159053,178.5125282
8810.48873,-53.14434815,175.6895936
9120.108394,-52.17031629,176.6672095
9440.608763,-51.64579527,176.0503809
9772.37221,-50.80745615,175.3098432
10115.79454,-50.0102993,176.2824299
10471.28548,-49.25694163,174.9676164
10839.26914,-48.45535368,174.44665
11220.18454,-47.66452237,174.2545371
11614.48614,-46.85353213,174.2268251
12022.64435,-46.09306359,174.3866381
12445.14612,-45.2847532,173.5397377
12882.49552,-44.49484624,173.3346882
13335.21432,-43.54104287,173.7506307
13803.84265,-42.83788003,172.5844502
14288.93959,-41.89503712,172.5107244
14791.08388,-41.06921791,172.5181352
15310.87462,-40.16255339,171.6971634
15848.93192,-39.25085655,171.0673096
16405.89773,-38.27680933,170.5149425
16982.43652,-37.34094104,170.3671254
17579.23614,-36.34371484,169.5856162
18197.00859,-35.25088398,168.9772448
18836.49089,-34.09724605,168.1190486
19498.446,-32.96516044,167.2751774
20183.66364,-31.75148551,166.4815099
20892.96131,-30.46881854,165.3501853
21627.18524,-29.13702572,164.289392
22387.21139,-27.71209179,162.9552091
23173.9465,-26.16696765,161.2766224
23988.32919,-24.51430466,159.2567104
24831.33105,-22.69606169,156.873588
25703.95783,-20.69623933,153.9395584
26607.2506,-18.49684221,150.2651013
27542.28703,-16.00340719,145.2056629
28510.18268,-13.17012947,138.2616714
29512.09227,-9.910258222,128.09352
30549.21113,-6.23189615,112.1680451
31622.7766,-2.49274752,87.00383654
32734.06949,0.332332237,52.76700797
33884.41561,1.874289133,15.15754328
35075.1874,2.37156128,-26.22537531
36307.80548,0.638037287,-70.93860391
37583.74043,-3.303176052,-104.421929
38904.5145,-7.461454827,-124.1741126
40271.70343,-11.10151622,-136.1389723
41686.93835,-14.23000628,-144.0473463
43151.90768,-16.93081799,-149.5843758
44668.35922,-19.30023902,-153.7490246
46238.10214,-21.41633016,-156.9578772
47863.00923,-23.27221463,-160.0538628
49545.01908,-24.98733489,-161.6845206
51286.1384,-26.86525034,-163.1908315
53088.44442,-28.15833091,-164.9725388
54954.08739,-29.77979476,-168.7141097
56885.29308,-31.26102097,-167.5070124
58884.36554,-32.19095526,-168.4060874
60953.68972,-33.31342381,-169.657658
63095.73445,-34.44935862,-170.7355091
65313.05526,-35.50198929,-170.9283885
67608.29754,-36.66602709,-172.3463749
69984.1996,-37.55291492,-171.4826145
72443.59601,-38.52095872,-173.4892182
74989.42093,-39.68714164,-174.7972108
77624.71166,-40.36020435,-174.3505934
80352.61222,-41.28755854,-174.9786247
83176.37711,-42.06585952,-176.0496387
86099.37522,-43.37534698,-175.9535285
89125.09381,-43.72422794,-175.8876426
92257.14272,-44.71814038,-179.3238477
95499.2586,-45.48648331,-179.1489092
98855.30947,-46.47831959,-179.3982771
102329.2992,-47.39051281,178.6232144
105925.3725,-47.95595918,177.1606188
109647.8196,-49.09393189,171.8745041
113501.0816,-51.09856383,175.9294464
117489.7555,-49.1714538,-173.6264092
121618.6001,-52.90220402,177.938459
125892.5412,-53.86594744,-173.0704926
130316.6778,-50.42027342,-177.0474039
134896.2883,-54.51402564,155.8290815
139636.8361,-52.5312043,156.4599021
144543.9771,-53.98316216,160.4026285
149623.5656,-54.40601149,169.1453052
154881.6619,-55.71459941,171.8094621
160324.5391,-55.48584339,163.1669264
165958.6907,-56.62968078,165.1746075
171790.8387,-56.66169768,156.4843574
177827.941,-57.79871888,159.3948537
184077.2001,-57.74393594,159.9171835
190546.0718,-59.34070645,152.4553041
197242.2736,-59.23070931,161.9331485
204173.7945,-58.7550525,146.8725623
211348.904,-59.21072712,145.1961718
218776.1624,-58.67363888,145.1889555
226464.4308,-61.09649484,141.5534354
234422.8815,-60.36601595,142.1869178
242661.0095,-60.58217016,130.5554918
251188.6432,-59.92369589,145.565222
260015.9563,-59.93930034,113.6029383
269153.4804,-61.75249858,139.2368416
278612.1169,-61.04527291,108.838889
288403.1503,-62.9390241,98.65573523
298538.2619,-60.22434849,112.6692933
309029.5433,-60.22816731,106.2559202
319889.511,-59.9274264,119.1070753
331131.1215,-62.49252451,107.4119756
342767.7865,-61.71464743,104.5468177
354813.3892,-62.26500984,91.56650969
367282.3005,-61.81037583,110.808157
380189.3963,-61.08011012,68.045041
393550.0755,-59.60044873,116.0951984
407380.2778,-57.71029642,99.71949085
421696.5034,-60.18202369,100.2556711
436515.8322,-58.11365848,114.6316419
451855.9444,-59.13633752,104.4729826
467735.1413,-59.0308841,112.3074993
484172.3676,-57.66788532,108.3306634
501187.2336,-54.11421555,118.5740947
518800.0389,-55.84263123,114.9719653
537031.7964,-55.41345871,105.3788612
555904.2573,-56.83460191,90.66520883
575439.9373,-54.75238634,101.9100791
595662.1435,-57.58983835,99.23566252
616595.0019,-55.6368371,78.61603346
638263.4862,-53.28103915,89.52186314
660693.448,-56.56778694,87.86525862
683911.6473,-53.24268858,96.0400165
707945.7844,-52.88400643,105.5758989
732824.5331,-53.53971334,95.57861217
758577.575,-53.38601621,100.5773086
785235.6346,-52.80438104,101.7471377
812830.5162,-54.46003453,112.63705
841395.1416,-53.0145532,105.7139317
870963.59,-52.68892481,110.297019
901571.1376,-53.0068513,104.502859
933254.3008,-50.7669614,106.8791838
966050.879,-52.1010043,103.5526755
1000000,-49.69998616,103.2075318
